"dist_name","class","implemented","varying_limits","l_limit","u_limit","type"
"BB","gamlss",FALSE,NA,NA,NA,"Discrete"
"BCCG","gamlss",FALSE,NA,NA,NA,"Continuous"
"BCCGo","gamlss",FALSE,NA,NA,NA,"Continuous"
"BCPE","gamlss",FALSE,NA,NA,NA,"Continuous"
"BCPEo","gamlss",FALSE,NA,NA,NA,"Continuous"
"BCT","gamlss",FALSE,NA,NA,NA,"Continuous"
"BCTo","gamlss",FALSE,NA,NA,NA,"Continuous"
"BE","gamlss",FALSE,NA,NA,NA,"Continuous"
"BEINF","gamlss",FALSE,NA,NA,NA,"Mixed"
"BEINF0","gamlss",FALSE,NA,NA,NA,"Mixed"
"BEINF1","gamlss",FALSE,NA,NA,NA,"Mixed"
"BEo","gamlss",FALSE,NA,NA,NA,"Continuous"
"BEOI","gamlss",FALSE,NA,NA,NA,"Mixed"
"BEZI","gamlss",FALSE,NA,NA,NA,"Mixed"
"BI","gamlss",FALSE,NA,NA,NA,"Discrete"
"BNB","gamlss",FALSE,NA,NA,NA,"Discrete"
"DBI","gamlss",FALSE,NA,NA,NA,"Discrete"
"DBURR12","gamlss",FALSE,NA,NA,NA,"Discrete"
"DEL","gamlss",FALSE,NA,NA,NA,"Discrete"
"DPO","gamlss",FALSE,NA,NA,NA,"Discrete"
"EGB2","gamlss",FALSE,NA,NA,NA,"Continuous"
"exGAUS","gamlss",FALSE,NA,NA,NA,"Continuous"
"EXP","gamlss",FALSE,NA,NA,NA,"Continuous"
"GA","gamlss",FALSE,NA,NA,NA,"Continuous"
"GB1","gamlss",FALSE,NA,NA,NA,"Continuous"
"GB2","gamlss",FALSE,NA,NA,NA,"Continuous"
"GEOM","gamlss",FALSE,NA,NA,NA,"Discrete"
"GEOMo","gamlss",FALSE,NA,NA,NA,"Discrete"
"GG","gamlss",FALSE,NA,NA,NA,"Continuous"
"GIG","gamlss",FALSE,NA,NA,NA,"Continuous"
"GP","gamlss",FALSE,NA,NA,NA,"Continuous"
"GPO","gamlss",FALSE,NA,NA,NA,"Discrete"
"GT","gamlss",FALSE,NA,NA,NA,"Continuous"
"GU","gamlss",FALSE,NA,NA,NA,"Continuous"
"IG","gamlss",FALSE,NA,NA,NA,"Continuous"
"IGAMMA","gamlss",FALSE,NA,NA,NA,"Continuous"
"JSU","gamlss",FALSE,NA,NA,NA,"Continuous"
"JSUo","gamlss",FALSE,NA,NA,NA,"Continuous"
"LG","gamlss",FALSE,NA,NA,NA,"Discrete"
"LNO","gamlss",FALSE,NA,NA,NA,"Continuous"
"LO","gamlss",FALSE,NA,NA,NA,"Continuous"
"LOGITNO","gamlss",FALSE,NA,NA,NA,"Continuous"
"LOGNO","gamlss",FALSE,NA,NA,NA,"Continuous"
"LOGNO2","gamlss",FALSE,NA,NA,NA,"Continuous"
"LQNO","gamlss",FALSE,NA,NA,NA,"Continuous"
"MN3","gamlss",FALSE,NA,NA,NA,"Discrete"
"MN4","gamlss",FALSE,NA,NA,NA,"Discrete"
"MN5","gamlss",FALSE,NA,NA,NA,"Discrete"
"MULTIN","gamlss",FALSE,NA,NA,NA,"Discrete"
"NBF","gamlss",FALSE,NA,NA,NA,"Discrete"
"NBI","gamlss",FALSE,NA,NA,NA,"Discrete"
"NBII","gamlss",FALSE,NA,NA,NA,"Discrete"
"NET","gamlss",FALSE,NA,NA,NA,"Continuous"
"NO","gamlss",FALSE,NA,NA,NA,"Continuous"
"NO2","gamlss",FALSE,NA,NA,NA,"Continuous"
"NOF","gamlss",FALSE,NA,NA,NA,"Continuous"
"PARETO2","gamlss",FALSE,NA,NA,NA,"Continuous"
"PARETO2o","gamlss",FALSE,NA,NA,NA,"Continuous"
"PE","gamlss",FALSE,NA,NA,NA,"Continuous"
"PE2","gamlss",FALSE,NA,NA,NA,"Continuous"
"PIG","gamlss",FALSE,NA,NA,NA,"Discrete"
"PO","gamlss",FALSE,NA,NA,NA,"Discrete"
"RG","gamlss",FALSE,NA,NA,NA,"Continuous"
"RGE","gamlss",FALSE,NA,NA,NA,"Continuous"
"SEP","gamlss",FALSE,NA,NA,NA,"Continuous"
"SEP1","gamlss",FALSE,NA,NA,NA,"Continuous"
"SEP2","gamlss",FALSE,NA,NA,NA,"Continuous"
"SEP3","gamlss",FALSE,NA,NA,NA,"Continuous"
"SEP4","gamlss",FALSE,NA,NA,NA,"Continuous"
"SHASH","gamlss",FALSE,NA,NA,NA,"Continuous"
"SHASHo","gamlss",FALSE,NA,NA,NA,"Continuous"
"SHASHo2","gamlss",FALSE,NA,NA,NA,"Continuous"
"SI","gamlss",FALSE,NA,NA,NA,"Discrete"
"SICHEL","gamlss",FALSE,NA,NA,NA,"Discrete"
"SIMPLEX","gamlss",FALSE,NA,NA,NA,"Continuous"
"SN1","gamlss",FALSE,NA,NA,NA,"Continuous"
"SN2","gamlss",FALSE,NA,NA,NA,"Continuous"
"SST","gamlss",FALSE,NA,NA,NA,"Continuous"
"ST1","gamlss",FALSE,NA,NA,NA,"Continuous"
"ST2","gamlss",FALSE,NA,NA,NA,"Continuous"
"ST3","gamlss",FALSE,NA,NA,NA,"Continuous"
"ST3C","gamlss",FALSE,NA,NA,NA,"Continuous"
"ST4","gamlss",FALSE,NA,NA,NA,"Continuous"
"ST5","gamlss",FALSE,NA,NA,NA,"Continuous"
"TF","gamlss",FALSE,NA,NA,NA,"Continuous"
"TF2","gamlss",FALSE,NA,NA,NA,"Continuous"
"tofyS","gamlss",FALSE,NA,NA,NA,NA
"tofySICHEL","gamlss",FALSE,NA,NA,NA,NA
"VSICHEL","gamlss",FALSE,NA,NA,NA,NA
"WARING","gamlss",FALSE,NA,NA,NA,"Discrete"
